0003F1DE,"SHOWROOM"
33D21719,"Officer reporting pursuit of Street Racers on Interstate 4. All units respond."
33D2171A,"All units near Interstate 4. Officer in pursuit of multiple targets requires assistance."
33D2171B,"Pursuit of Street Racers in progress on Interstate 4. Pursuing officer is Code 3 and requests immediate backup."
33F2758F,"Chevolet Cobalt"
33F8A0F0,"TECHNICAL ART"
33FCAEEB,"Suspected Racer spotted moving at high speed on West Ridge Drive."
33FCAEEC,"Speeding vehicle spotted on West Ridge Drive."
34155872,"Change Assignment"
34174FBB,"The McLaren name and logo are trademarks of the McLaren group of companies."
34242CE4,"I just had a car run by me at high speed, am moving to intercept. Probable Code 3."
34242CE5,"Dispatch, am following a 10-41, will supply license when I get one. Need Code 3 clearance, over."
34242CE6,"Dispatch, I have a 10-41, am in pursuit. No response to light…yeah, this is Code 3, Code 3."
34242CE7,"Dispatch, am in pursuit of 10-41. Need Code 3 and assist, over."
34242CE8,"Dispatch, I am tailing speeding vehicle, I think this guy is going to run for it. Probable Code 3."
3437B5C3,"Left OverWatch"
343F2738,"Beat {0:s} to go {1:s} in your Speedwall"
3446D51F,"Copy that, where is the Code 3?"
3446D520,"Copy that, I will respond to that call, over."
344E9456,"The email address or password you entered is incorrect."
344F00D2,"EA Certification - Tech & Standards"
34687C11,"Aston Martin Vanquish UC"
3468CCF2,"Aston Martin"
34769720,"Welcome to Autolog where you and your Origin Friends can compete and compare on Speedwalls. If you would like us to recommend you new Friends based on your current Friends list and/or use your approximate location to recommend you as Friends to other players please tick the boxes below. You can change these preferences in the Settings menu at any time."
3482D6F6,"Heading down <Road X>. I'm going to take a look around."
3482D6F7,"Commencing patrol of Sun Valley Run."
3482D6F8,"I'm starting my patrol sweep along Sun Valley Run"
348BD40A,"NUM MINUS"
34994A9C,"Multiplayer Races"
34A0646F,"Aged Dragon"
34AE7BE5,"Unlocked at Assignment 19 UC"
34B0B34E,"Gibraltar"
34BDBF3E,"Vanquish"
34CE7E14,"Dispatch, I've got another suspect in view. Pursuing multiple targets now."
34CE7E15,"Control, I'm now in pursuit of an additional 10-44."
34CE7E16,"Pursuing multiple targets now. Code 3, all available respond."
34D89812,"Get a hit with Pursuit Tech"
34F72168,"Team Wreck"
34FCC339,"Beat {0:s} Hyper cars or better in a Street car"
350C9517,"@"
350C951B,"Unknown"
350C9579,"F1"
350C957A,"F2"
350C957B,"F3"
350C957C,"F4"
350C957D,"F5"
350C957E,"F6"
350C957F,"F7"
350C9580,"F8"
350C9581,"F9"
3516469E,"Officer reporting pursuit of Street Racers on Lagoon Trail. All units respond."
3516469F,"All units near Lagoon Trail. Officer in pursuit of multiple targets requires assistance."
351646A0,"Pursuit of Street Racers in progress on Lagoon Trail. Pursuing officer is Code 3 and requests immediate backup."
3518ED4D,"Azerbaijan"
351AA070,"SUSPECT ESCAPED"
352E5468,"Dispatch, 10-44 is immobilized.  Bringing them in."
352E5469,"Confirmed hit on Racer. Moving in to halt and detain."
353497AC,"Lead Audio Engineer"
3552C124,"One-77"
3569FAF5,"Select between the Game Soundtrack and your own Playlists."
35823CC8,"Get an ESF hit"
3594E6D8,"Collision: {0:s}"
3596E38B,"Watch it, he's trying to get clear."
3596E38C,"Block that gap!"
3596E38D,"We got him, don't let him out."
3596E38E,"Shut him down. Don't let him get by you."
3596E38F,"Watch it, you're giving him space."
3596E390,"This is it, shut him down."
3598D2AC,"Leave Garage"
359944AF,"I've got one of them pinned down. Moving in to detain the driver now. Standby, Dispatch."
359944B0,"Target halted. I'm going in to arrest the target."
359944B1,"I've got one of the suspect vehicles pinned down. Attempting to detain the driver."
35B59818,"Just busted a Racer with their {0:~}"
35C4832D,"Global PLM Director"
35C4A1DF,"Reach Top Speed in a Pursuit"
35D6612B,"Speedwalls"
35DBDFCC,"x"
35E19060,"Set the speech volume for VO and cutscenes."
35E6519E,"Just won a Race in their {0:~}"
35F9486B,"SEMICOLON"
35FBB1AC,"Sound Apprentice"
3600747D,"LICENSE PLATE TEXT"
36010A4D,"We're after, it's one of those new Chevrolet Corvette Stingrays."
36010A4E,"Suspect is driving Corvette Stingray, driving erratically."
360204EE,"UNSUCCESSFUL"
360E6F27,"Control Freak"
3612188E,"LALT"
361275BB,"LEFT WIN"
36156524,"TERMS OF SERVICE"
3636D38B,"Dispatch, suspect's tires have re-inflated."
3636D38C,"Dispatch, suspect's tires have re-inflated."
3636D38D,"Dispatch, suspect's tires just re-inflated."
3652DF02,"th"
36584502,"AUDIO"
365A4EAA," Heat {0:s}, earn {1:s} on {2:s}"
366EEBE2,"Races"
36817933,"m"
3683083F,"HYPNOS ENTERTAINMENT, INC."
368CFFE9,"Suspected Racer spotted moving at high speed on Dead Tree Canyon."
368CFFEA,"Dispatch, I have a suspected 10-44 on Dead Tree Canyon."
369E3318,"Your profile does not have the correct permissions to access Online functionality."
36A263BE,"You have Unlocked the Ultimate Cop Pack. New car and pursuit tech available."
36AD4F4B,"Target just dodged my spikes."
36AD4F4C,"10-44 avoided Spike Strip."
36AD4F4D,"Control, Racer has evaded Spike Strip. Continuing pursuit."
36CEEB53,"VIPER GTS"
36D0E1E1,"Super Trofeo"
36E433A7,"Marussia B2"
36E48488,"Marussia"
36E5CA07,"Carbon"
36E5E1C5,"Speedwalls are the best way to compare through the power of Autolog. Are you happy for us to display the results of other players in your area in your Speedwalls and to display your results to others in your area in their Speedwalls? You can change these preferences in the Settings menu at any time."
37012683,"Save and apply stripe? (Note: This will override any decal or body wrap)"
3723E658,"Dispatch, the Racer is driving a BMW M3 GTS."
3723E659,"The car we're looking at is a BMW M3."
3729008E,"Still in pursuit Code 3. Requesting air ship support."
3729008F,"Control, I need some air out here."
3737D832,"SRT Viper GTS ENF"
3743F0C3,"Change Faction"
377484F3,"Process Analyst"
377A1FED,"Porsche, the Porsche crest, 911, Carrera and Panamera are registered trademarks of Dr. Ing. h.c. F. Porsche AG. Licensed under certain patents."
37815300,"French Guiana"
3783F84A,"Your map of Redview County doesn't just show roads. Attempt a Jump or Speed Zone, find a Hideout or Command Post, they will all be logged here.  Your map also shows you all the events you've unlocked, with new ones to discover as you increase in Rank."
37897A26,"E-Brake"
378C3FC7,"Earn 100 Gold medals across both factions"
379AAA34,"Dispatch, I am in pursuit Code 3 of multiple 10-44s."
379AAA35,"Be advised, now in pursuit of multiple suspects. Requesting immediate backup."
379AAA36,"Dispatch, requesting backup. Got Racers swarming like flies out here."
379AAA37,"Control, I need some backup out here. Now pursuing multiple targets."
379AAA38,"Heads up, Control. Now in pursuit of multiple high speed targets. Requesting assistance."
379AAA39,"Officer in need of assistance. Am in pursuit Code 3 of multiple Racers."
379AAA3A,"Err, Dispatch, I'm going to need some help out here. I'm in pursuit of multiple suspects."
379E949C,"Officer, your assignments have been updated."
37A1F2D0,"Shock Wave Counter"
37AC850E,"<Placeholder: Bug Me>"
37BD3F2E,"Escape a bust by the Cops"
37BE1B90,"Copy that, sending a wrecker to bring them in."
37BE1B91,"10-4, wrecker is on its way."
37BE1B92,"Confirmed Racer is down, sending clean up."
37BE1B93,"Copy that, clean up is on its way."
37BE1B94,"10-4, we're sending assistance to tow that vehicle."
37BE1B95,"Understood, an 11-56 has been confirmed for your position."
37BE1B96,"Copy that, assistance is moving to clear the scene."
37BE1B97,"10-4 on that collision, assistance is on its way."
37BE1B98,"Copy that, a wrecker has been called to the scene."
37BE1BB0,"10-4, a tow has been called to your position."
37BECF9E,"Can't decide which side to pick between Cop or Racer? Find out more about the rivalry between the two factions."
37C42057,"Make {0:s} Cops crash in the Forest"
37E07C82,"Bust Racers: {0:s} of {1:s}"
37EF1311,"Pursuit underway of multiple 10-44s on West Ridge Drive. Requesting support from any backup units in the area."
37EF1312,"I'm in pursuit of multiple high speed vehicles on West Ridge Drive. All nearby units move in to support."
37F98A7C,"Suspect vehicles ID'd in 10-44 on Sunset Tunnel."
37F98A7D,"Suspects involved in race along Sunset Tunnel. I'm in pursuit."
37F98A7E,"Got visual on target 10-44 moving on Sunset Tunnel. Rolling to apprehend."
3804EF78,"with 3 Friends"
38060D50,"Slammed {0:s} of {1:s} Opponents"
380DE8D3,"Viper TA"
38126BDB,"Chevrolet Camaro ZL1 ENF"
3812BCBC,"Chevrolet"
382D5790,"mm:ss.ff"
383778DF,"Unlocked at Assignment 1"
384163BF,"Dispatch, I have a street race in progress on Eastwood Rise.  Requesting backup units to shut it down."
384163C0,"Control, I've spotted a street race on Eastwood Rise. Requesting support of additional units to intercept"
384638BE,"Complete 2x Rank 6 Speedlists"
385B8D53,"Your Shock Ram was countered by {0:s}"
385DDDAE,"{0:s} of {1:s} Races won with a Ferrari"
386835CD,"Development Leads - Product Owners"
3895763E,"All units, possible Code 3 pursuit on Grand Peak Drive."
3895763F,"All units, am pursuing a 10-41 on Grand Peak Drive, looks like a possible Code 3 pursuit."
38957640,"All units, possible Code 3 pursuit. I have a speeding vehicle that's ignoring lights on Grand Peak Drive."
38957641,"Dispatch, Dispatch, alert all units, I have a 10-41 on Grand Peak Drive."
389EE8C4,"Visit Need for Speed™ Network"
38A0E71D,"Win a  Race against a {0:s} Heat Racer"
38B4DB02,"ORIGIN SIGN-IN"
38B84D2D,"Dispatch, unit out of pursuit, they're 11-23."
38B84D2E,"Dispatch, unit out of pursuit, I can see smoke from their engine."
38B84D2F,"Dispatch, I copied that. I am still on that suspect and will take the Lead."
38B84D30,"I still got him. I'm going to need secondaries. Continuing pursuit."
38B84D31,"I still have the guy, but I will need assistance. He's not stopping."
38FD435C,"Electrostatic Field"
3926DAB3,"F40"
392A3430,"10-4, he's damaged, but still running, over."
392A3431,"Copy that, let's close him down, over."
392A3432,"Dispatch, suspect's running on flats."
393A493D,"Downloading the Terms of Service and Privacy Policy.  Please wait."
3941646D,"Cayman S"
39442CEB,"Got visual on target 10-44 moving on Riverside Drive. Rolling to apprehend."
39442CEC,"Dispatch, I've got eyes on the target 10-44 moving at speed along Riverside Drive. I'm showing lights."
39442CED,"Got a visual on several known Racers involved in a street race along Riverside Drive. I'm going pursuit Code 3."
394BC534,"Escape a Pursuit with full health"
39503918,""
3957A58B,"2015 Ford Mustang GT"
3957F66C,"2015 Ford"
395DB8D5,"Honey Checker"
397940BC,"Race has been shut down."
397940BD,"That race is history. All 10-44s apprehended."
397940BE,"Race halted, Dispatch. All participants have been detained."
397940BF,"This race is done."
397940C0,"Dispatch, race has been successfully halted."
397940C1,"This race is over, Dispatch."
397940C2,"All Racers rounded up. This race is done."
397940C3,"Dispatch, race has been shut down."
398A07C4,"Win {0:s}  Races without any Tech equipped"
398FC792,"Ferrari F40 UC"
39929B75,""
39A48665,"You've got a cop on your tail. Get out of there."
39A48666,"Cop on your six. You've got to lose him."
39A48667,"You have to lose that cruiser. Drive hard."
39A48668,"That cruiser's all over your six. Get out of there."
39AA6293,"Motion Blur"
39ABB22A,"Unlocked at Racer Rank 9"
39AF5C42,"Reach Racer Rank 5"
39B1C146,"Control, show me on patrol on West Ridge Drive"
39B1C147,"Heading down West Ridge Drive. I'm going to take a look around."
39B1C148,"Commencing patrol of West Ridge Drive."
39B46E50,"<content goes here>"
39FE9379,"Jam a Cop"
3A03E23B,"Complete 3x Rank 1 Speedlists"
3A39FE5A,"Average a Speed Zone at {0:s}"
3A3A09FB,"Charger"
3A3D6B6F,"VEHICLE MANUFACTURERS"
3A4123EF,"Play Movie"
3A56E5A5,"Sign into Origin to access online features"
3A5C4C44,"OVERWATCH CHALLENGE"
3A6A1E59,"Get a Slam while using the Turbo"
3A71D53C,"CAMARO ZL1"
3A76262B,"{0:s} {1:s}"
3A77F3AB,"“There are only two types of people driving this fast – cops and criminals.”"
3A77F3AC,"“And when show of force isn't enough to maintain order, sometimes you have to settle for the real thing”"
3A77F3AD,"“The racers have shown that they are willing to cross the line in their quest to disrupt society.  We must be willing to do the same to protect it.”"
3A77F3AE,"“Deep down, they know they need us, because everyone wants security.  But only a few are willing to accept the price.”"
3A77F3AF,"“We tried to play by the rules, and where did that leave us?  Chained up on the side of the road like dogs.”"
3A77F3B0,"“There is a reason we don't take many cops in VRT.  We are brought in when you fail.“"
3A77F3B1,"“The United States taxpayer is investing millions of dollars in you - we expect it to be money well spent.”"
3A77F3B2,"“Like a pack of wolves, we herded them together to make them easier to pick off.”"
3A77F3B3,"“Zephyr has questioned our authority, and now it's time to answer. Today he will learn what happens when you wake the beast.”"
3A7F640F,"Pursuit underway of multiple 10-44s on Dead Tree Canyon. Requesting support from any backup units in the area."
3A7F6410,"Requesting support in pursuit of multiple Racers on Dead Tree Canyon.  Dispatch please respond."
3A8C68F1,"Pakistan"
3A9AD60E,"Saving will overwrite the previously saved player profile data. Are you sure you wish to proceed?"
3AC1EA8E,"South Africa"
3ADAC21B,"Chevrolet Camaro ZL1 ENF"
3ADB260B,"Myanmar"
3ADF84EC,"Watch the gaps there."
3ADF84ED,"Dispatch, suspect is pinned at our location."
3ADF84EE,"Dispatch, the suspect's in trouble, we're attempting to pin and detain."
3ADF84EF,"Suspect's in trouble, we have him."
3ADF84F0,"Dispatch, we're closing to pin the suspect."
3B04686D,"10-4 officer. Your response time has been acknowledged. Good work."
3B04686E,"Officer, your fast response to the request has been commended."
3B04686F,"Officer your quick arrival at the incident has been recorded."
3B046870,"Officer, you have been commended or your rapid arrival on the scene."
3B046871,"Officer, your response time has been recorded for a commendation."
3B046872,"Officer, control has recorded your quick response on the scene and has added it to your report."
3B046873,"Officer, your hasty arrival on the scene has earned you an endorsement."
3B046874,"Duty Sargent has noted and commends your quick arrival at the scene."
3B153E52,"Sound Designer"
3B31297A,"Ram or Slam {0:s} cars under the influence of an EMP effect"
3B32A4B2,"Senior Technical Account Manager"
3B726374,"Helicopter Spike Strip Counter"
3B7ED5CC,"Controller disconnected"
3B8CB320,"Dispatch, 10-42 in 11-51 on my unit. Need Code 3 authorization, over."
3B8CB321,"Dispatch, 1-51 on my unit. Need Code 3 and back up, over."
3B8CB322,"All units, 10-42 just hit my vehicle. Showing lights, but…he's not responding. Code 3, Code 3."
3B8CB323,"Dispatch, 11-51 from 10-42, developing Code 3."
3B8CB324,"Dispatch, am moving to pursue an 11-51."
3B8CB325,"11-51, 11-51, unit damaged, but in pursuit."
3B8CB326,"Dispatch, am in pursuit of an 11-51. Pursuit looks like it'll escalate, he's not stopping."
3B8CB327,"Dispatch, I have a pursuit developing, reckless driver in 11-51, moving to intercept."
3B8CB328,"Dispatch, am moving to pursue an 11-51."
3B8CB340,"11-51, 11-51, damaged, but in pursuit. Code 3 Code 3."
3B8CB341,"Dispatch, am in pursuit of an 11-51. Pursuit looks like it'll escalate, he's not stopping."
3B8CB342,"Code 3, code 3. I'm in pursuit of a 10-42."
3B8CB343,"Code 3, code 3. I'm in pursuit of a 10-42."
3B8CB344,"Dispatch, am in pursuit of a driver who just hit my vehicle.  Am showing lights. He's not stopping, Code 3, Code 3."
3B8CB345,"10-42, my unit just got hit, I am moving to pursue. Need authorization for Code 3."
3B8CB346,"Dispatch, I have a 10-42. They're running. I need authorization for Code 3 pursuit."
3B8CB347,"This is 3 Lemur-6, am in pursuit of a hit and run suspect. Showing lights…no response. Code 3, Code 3."
3B8CB348,"Yeah, I'm looking at a reckless driver, this guy doesn't seem to care about anything or anybody. I'm going to try and pull him over."
3B8CB349,"Dispatch, I have a 10-42, just 11-51'd my vehicle. Going Code 3, over."
3B8CB361,"This is 1 Lemur-18, my unit's been I'll need back for Code 3, on multiple 10-44's over."
3B8CB362,"Dispatch, 1 Lemur-18, my unit's been hit. Multiple 10-41s, possible illegal street race. Am in pursuit. I'll need back for Code 3, over."
3B9748C4,"8TH"
3B99AB58,"Dispatch, I have a suspected 10-44 on Interstate 1."
3B99AB59,"Speeding vehicle spotted on Interstate 1."
3B9A37B9,"Dispatch, I have a suspected 10-44 on Interstate 2."
3B9A37BA,"Control, I have a visual on a vehicle moving at speed on Interstate 2. Target identified as a Racer."
3B9AC41A,"Speeding vehicle spotted on Interstate 3."
3B9AC41B,"Control, I've identified a 10-41 on Interstate 3."
3B9B054B,"Program Manager"
3B9B507B,"Dispatch, I have a Racer moving at high speed along Interstate 4."
3B9B507C,"Control, I have a visual on a vehicle moving at speed on Interstate 4. Target identified as a Racer."
3B9EF292,"Unlocked at Rank Unknown"
3BA95D04,"5TH"
3BA98FFB,"1ST"
3BB01BF0,"Vehicle sought is a Ford Mustang GT."
3BB01BF1,"Wanted driver is in a Ford Mustang GT, Twenty Fourteen model."
3BC18A61,"All units, we have an 11-51, there is debris on the road."
3BC18A62,"Units proceed with caution, 11-51."
3BC18A63,"All units, show caution, debris in the road."
3BC18A64,"All units, 11-55."
3BC7F557,"Bentley"
3BD71380,"This is 2 Charlie-7, am in pursuit of high speed vehicle on Coyote Pass."
3BD71381,"Dispatch, am pursuing a 10-41 on Coyote Pass."
3BD71382,"Dispatch, I've got a 10-41 on Coyote Pass, am in pursuit."
3BD71383,"All units, I have a 10-41 moving along Coyote Pass at high speed."
3BD97D78,"Lead Artists"
3BFBC508,"By pressing the button the EasyDrive menu allows you to route directly to points of interest like Command Posts or Repair Shops."
3BFD1AC8,"Officer reporting pursuit of Street Racers on Last Stallion Ranch. All units respond."
3BFD1AC9,"All units near Last Stallion Ranch. Officer in pursuit of multiple targets requires assistance."
3BFD1ACA,"Pursuit of Street Racers in progress on Last Stallion Ranch. Pursuing officer is Code 3 and requests immediate backup."
3C29F2B4,"Unlocked at Rank Unknown"
3C33F833,"They are running scared"
3C3CBC79,"Get {0:s} Near Misses against Cops outside of a Pursuit."
3C3D8B3E,"EasyDrive Down"
3C41C191,"EasyDrive Left"
3C421244,"Beginning my patrol run along Dead Tree Canyon"
3C421245,"I am on Dead Tree Canyon and commencing sweep of the area."
3C421246,"Starting my patrol sweep of Dead Tree Canyon"
3C42B2EC,"Host Session Setting"
3C49E391,"{0:s} Speed Zones: {1:s}/{2:s}"
3C49E887,"We're coming to you with live footage from Redview County where the racer known as Zephyr has just been involved in a horrific high speed collision with local police units."
3C49E888,"Paramedics are making their way to the crash site as we speak…"
3C49E889,"but from this vantage point, it's hard to picture anyone surviving a wreck like that."
3C4BC191,"Code 3 suspect has crashed, we have them."
3C4BC192,"Suspect has crashed, we need assistance at this location, over."
3C4BC193,"Code 3 suspect in collision, we're going to need emergency vehicles."
3C4BC194,"Dispatch, can you send emergency vehicles? Code 3 suspect has crashed."
3C4BC195,"Code 3 suspect has crashed, we need emergency vehicles and Traffic at the scene."
3C4BC196,"Code 3 suspect has crashed, we need emergency on scene, over."
3C4CA943,"Select Pursuit Tech Slot"
3C62FF6C,"{0:s} stole {1:s}'s nitrous"
3C94E823,"6TH"
3CA45718,"LFA"
3CA4A496,"10TH"
3CA6342E,"3RD"
3CA6594E,"3RD"
3CAB8894,"Light Scattering"
3CAFE324,"Program Management Director"
3CDF8000,"Dispatch, I have a Racer moving at high speed along Lagoon Trail."
3CDF8001,"Control, I have a visual on a vehicle moving at speed on Lagoon Trail. Target identified as a Racer."
3CE7A7CC,"Unlocked at Assignment 20 ENF"
3CFFB654,"To keep the public safe"
3D0D43F7,"Lexus LFA UC"
3D324E29,"C-X75 PROTOTYPE"
3D3253BB,"Dispatch, I have a Racer moving at high speed along Sunset Tunnel."
3D3253BC,"Control, I've identified a 10-41 on Sunset Tunnel."
3D3B4BAA,"Lead Gameplay Engineer"
3D3E375E,"To Beat the VRT, I must be better. Better than I ever thought"
3D4F0DF2,"{0:s} refilled {1:s}'s tech"
3D505E9D,"Use a Repair Shop"
3D8BF211,"“Live Forever” feat. Shirt"
3D8BF212,"Performed by Hyper"
3D8BF213,"Written by Guy Hatfield, John Ross and George Tryfonos"
3D8BF214,"Published by Guy Hatfield Publishing, BMG Chrysalis and David Platz Music/Royalty Network (BMI)"
3D8BF215,"Recording courtesy of Kilowatt Recordings by arrangement with Zync Music Group"
3D962304,"Everything"
3D9B3B08,"Jaguar C-X75 Prototype"
3DA19941,"QUALITY ASSURANCE"
3DA7BA08,"{0:s} of {1:s} perfect Tech hits while reversing"
3DD1B1B0,"Win {0:s}  Races with a lead of over {1:s}"
3DF62171,"Race initiated"
3E05AE01,"GT500"
3E07425E,"Do you want to buy the {0:s} Performance Upgrade for {1:s} ?"
3E09BC38,"All units, be on the lookout for a street Race, last spotted heading down Sun Valley Run."
3E09BC39,"All units near Sun Valley Run, we have an street race in motion. Move in and intercept."
3E09BC3A,"All units near Sun Valley Run, be advised, we have a 10-44 in progress. Pursuing officer is Code 3."
3E21B4B9,"{0:s}{1:s}{2:s}"
3E299792,"  CHANGE ASSIGNMENT"
3E2A577F,"Driving in an {0:~}"
3E36D810,"{0:s} any Event"
3E5BC2E5,"Interceptor is a cat and mouse game between Cops and a single Racer.  Start it alone as a Racer and your goal is to escape as quickly as you can.  Play as a Cop individually or with Friends, and bust the fleeing Racer as fast as possible using every means at your disposal."
3E6AE07F,"Control, my vehicle's taken major damage and is out of action.  Requesting tow."
3E6AE080,"Dispatch, my Patrol unit is heavily damaged...requesting tow."
3E6AE081,"Dispatch, unable to maintain pursuit. My vehicle is out of action."
3E6FE496,"Locked and loaded"
3E953F7A,"hh:mm:ss.ff"
3EB6D182,"Porsche Carrera GT"
3EB72263,"Porsche"
3ECAC290,"Yes"
3EEB734D,"Autolog Special Guests"
3EF7C325,"Unlocked at Racer Rank 7"
3F0F3A6B,"Tokelau"
3F1BB01E,"Single Oncoming: {0:s}/{1:s}"
3F1BDD93,"LOCALISATION SOFTWARE ENGINEERING"
3F25C086,"I'm out of the race."
3F25C087,"I've got to bail on this race."
3F25C088,"Pulling out of the race."
3F552471,"Time Attack 00"
3F552472,"[EASY] Travelling Light"
3F552473,"[HARD] No Turning Back"
3F552474,"[HARD] Seconds Out"
3F552475,"[MED] Gear Shift"
3F552476,"[MED] Unsung Hero"
3F552477,"[HARD] Keep Pushing"
3F552478,"[HARD] Base Line"
3F552479,"[EASY] Speed Hunter"
3F55247A,"[EASY] Redline"
3F552492,"[MED] Epic Ride"
3F552493,"[EASY] To The Limits"
3F552494,"[HARD] Air Space"
3F552495,"Landing Gear"
3F552496,"[HARD] Maximum Velocity"
3F552497,"[MED] Push It"
3F552498,"Time Attack 16"
3F552499,"[HARD] Heartstopper"
3F55249A,"Time Attack 18"
3F55249B,"Time Attack 19"
3F55FCF4,"Georgia"
3F5DCAA6,"Cambodia"
3F5F4CFC,"Global PLM Senior Director"
3F6B47E3,"Dispatch, I have a suspected 10-44 on Base Point Drive."
3F6B47E4,"Speeding vehicle spotted on Base Point Drive."
3F896FC9,"Germany"
3F95E8EA,"Cameroon"
3F96B5F4,"SPANISH VOICE ACTORS"
3FAB0C43,"A"
3FAB0C44,"B"
3FAB0C45,"C"
3FAB0C46,"D"
3FAB0C47,"E"
3FAB0C48,"F"
3FAB0C49,"G"
3FAB0C4A,"H"
3FAB0C4B,"I"
3FAB0C4C,"J"
3FAB0C4D,"K"
3FAB0C4E,"L"
3FAB0C4F,"M"
3FAB0C50,"N"
3FAB0C51,"O"
3FAB0C52,"P"
3FAB0C53,"Q"
3FAB0C54,"R"
3FAB0C55,"S"
3FAB0C56,"T"
3FAB0C57,"U"
3FAB0C58,"V"
3FAB0C59,"W"
3FAB0C5A,"X"
3FAB0C5B,"Y"
3FAB0C5C,"Z"
3FBA7F66,"Officer reporting pursuit of Street Racers on Troll Pass. All units respond."
3FBA7F67,"All units near Troll Pass. Officer in pursuit of multiple targets requires assistance."
3FBA7F68,"Pursuit of Street Racers in progress on Troll Pass. Pursuing officer is Code 3 and requests immediate backup."
3FBE0104,"Turbo Slam {0:s} Racers"
3FC9D309,"Upgrade all Cop Pursuit Tech in one car to maximum level and equip both slots"
3FCCCB30,"Slipstream a Racer for {0:s}"
3FF282D6,"CONTINUE WITHOUT DELETING"
401BDAF3,"Show More"
4024C23A,"The email address you specified is already in use on another account.  Would you like to enter a new email address?"
403A682F,"EA GAMES LABEL"
404309B6,"New Lamborghini Veneno livery: Wicked Game"
404BDDD6,"OverWatch Unlocked"
40645B95,"Enforcer"
408947BE,"MAP"
40A2EACD,"FIND A RACER TO CHALLENGE"
40ABD0F9,"McManis will be remembered"
40CAF1C1,"Officer reporting pursuit of Street Racers on Base Point Drive. All units respond."
40CAF1C2,"All units near Base Point Drive. Officer in pursuit of multiple targets requires assistance."
40CAF1C3,"Pursuit of Street Racers in progress on Base Point Drive. Pursuing officer is Code 3 and requests immediate backup."
40D31683,"Target has hit the Roadblock.  All units move in and detain the suspect."
40D31684,"All units, suspect involved in T/C with Roadblock units.  Move in and arrest."
40D31685,"Officers reporting Racer in T/C with Roadblock.  Move in to apprehend the suspect."
40D31686,"Code 3 has collided with the Roadblock.  All units move in and detain."
40D31687,"Target contact with 11-25. All units, show caution, debris is on the road. Clean-up is inbound."
4103465A,"GTA Spano ENF"
4103973B,"GTA"
410D50E8,"Bull's-eye. I just fried that 10-44's electrics."
410D50E9,"Direct hit. Racer's systems are offline...he's slowing down."
410D50EA,"I just took the suspect's power offline. Moving to apprehend."
41195A3B,"With the Need for Speed™ Network on your Web Browser, Tablet or Mobile Device you can create Playlists and prepare future gaming sessions in advance so you're instantly ready to pick up from where you left off.  Add Events, Autolog Recommends and Collectibles, and you will find them waiting for you in EasyDrive the next time you play Need for Speed™ Rivals.  When you play OverWatch and unlock special challenges, they are automatically added to your Playlist letting you unlock exclusive vehicles and liveries."
41250AE3,"South Sudan"
412B567D,"Mustang GT"
412F1CB0,"OverWatch is a mini game on the Need for Speed™ Network that allows players to help or hinder their Friends who are playing Need for Speed™ Rivals multiplayer sessions.  If you turn OverWatch off, you will remain visible to your Origin Friends on the Need for Speed™ world map, but they will not be able to use OverWatch to help or hinder you in your Need for Speed™ Rivals multiplayer sessions.   Turning OverWatch off will also mean that you cannot gain Fuel from playing Need for Speed™ Rivals to use in OverWatch. You can change this setting at any time."
4136FD94,"time"
413752AD,"I'm getting a race going on West Ridge Drive."
413752AE,"New street race on West Ridge Drive. Form a line if you're in."
413752AF,"Need a couple more Racers on West Ridge Drive. We're trying to get a race going."
413752B0,"I'm setting up a new race on West Ridge Drive. Who's in?"
4140D212,"SHOCKWAVE HITS"
4152E838,"Within the last hour, multiple news outlets received a video from a source claiming to be Zephyr."
4152E839,"He says he is issuing an open challenge to all street racers and law enforcement."
4152E83A,"In the video, he has posted a map with a route where racers and cops can settle their rivalry once and for all."
4152E83B,"While law enforcement is billing this as a declaration of war by the racing community, Zephyr claims it is, quote, 'the ultimate reality show.'"
41611F2F,"New Password"
417110E2,"Dynamics"
4188225F,"h"
418C611D,"DRIVE"
41A1B95E,"Unlocked via OverWatch"
41BFF1E0,"“Manoir II (Wraith Mix)"""
41BFF1E1,"All Performed by Helmut Kraft & Miss Brown"
41BFF1E2,"Written by Helmut Kraft and Miss Brown"
41BFF1E3,"Published by Sparks Media"
41BFF1E4,"Recording courtesy of SACRED Music"
41DD6B8C,"I have a Code 3 on multiple Racers on Troll Pass.  Requesting assistance from any available units in the vicinity."
41DD6B8D,"Pursuit underway of multiple 10-44s on Troll Pass. Requesting support from any backup units in the area."
41E41484,"Drive at Top Speed for {0:s}"
41E7D851,"Previous Track"
41F3209E,"“Albion”"
41F3209F,"Performed by The Bloody Beetroots & Junior"
41F320A0,"Written by Simone Cogo and Daniel-Junior Thibaut"
41F320A1,"Published by Ultra International Music Publishing"
41F320A2,"Junior appears courtesy of Lektroluv"
41F320A3,"Recording courtesy of Ultra Records"
41F7CB2A,"Jumps hit while pursued: {0:s} of {1:s}"
42170545,"Unlocked via OverWatch"
42274046,"Working through the pack"
4231F74F,"Perform a Perfect turbo while racing"
4244C796,"Now that you've completed your training your choice of Speedlists has increased allowing you to choose your own unique path."
4244C797,"You can also compete against your Friends on each Speedlist through Autlolog, comparing your fastest time across each Speedlist, to keep the rivalry going."
4254996C,"  AUDIO SETTINGS"
